"","Name","Pinyin","English","Source","LEN","VAR","IMG","FAM","VC","FREQ","NA.","H.value","CA","AoA_r","AoA_o","error","RT_harm","Borrowed","age","age.youngest","age.oldest"
"1","算盘","suan4pan2","abacus",4,2,3.36,4.33,4.64,3.68,1.71,0.88,0.54,1,"3.44","5.74",0.03,894,NA,NA,NA,NA
"2","水母","shui3mu3","acaleph",4,2,2.62,3.37,2.67,3.84,1.6,0.25,2.72,0.28,"6.25","10.86",0.34,1635,NA,NA,NA,NA
"3","手风琴","shou3feng1qin2","accordion",1,3,3.21,4,4.14,3.89,1.94,0.78,0.64,0.93,"4","10.5",0.06,1102,NA,NA,NA,NA
"4","飞机","fei1ji1","air plane",1,2,3.31,4.28,4.67,2.62,2.97,0.9,0.55,1,"2.76","2.25",0,748,"5. no evidence for borrowing","1893",1893,"1893"
"5","闹钟","nao4zhong1","alarm clock",5,2,2.86,4.11,4.75,3.86,3.97,0.85,0.71,1,"3.81","3.41",0.03,818,NA,NA,NA,NA
"6","鳄鱼","e4yu2","alligator",1,2,2.69,4.31,4.17,3.86,2.09,0.9,0.62,0.95,"4.18","4.42",0,1050,"5. no evidence for borrowing","Tang dynasty",NA,"Tang dynasty"
"7","救护车","jiu4hu4che1","ambulance",4,3,2.6,3.72,4.5,2.97,2.43,0.93,0.45,0.98,"4.31","4.66",0.03,1091,NA,NA,NA,NA
"8","锚","mao2","anchor",1,1,1.95,2.96,3.5,2.11,1.94,0.45,1.95,0.48,"5.63","11",0.37,1423,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"9","蚂蚁","ma3yi3","ant",1,2,3.1,3.42,3.92,3.43,2.34,0.58,1.71,0.58,"2.4","4.58",0.11,1282,"5. no evidence for borrowing","Tang dynasty",NA,"Tang dynasty"
"10","天线","tian1xian4","antenna",5,2,2.88,3.4,4.36,2.24,2.46,0.43,1.8,0.55,"3.88","10.8",0.09,1148,NA,NA,NA,NA
"11","苹果","ping2guo3","apple",1,2,3.05,4.03,4.81,1.62,3.86,0.95,0.17,0.95,"1.94","2.25",0,1016,NA,NA,NA,NA
"12","手臂","shou3bi4","arm",1,2,2.62,4.11,4.92,2.05,3.69,0.53,2.15,1,"2.5","3.56",0,895,NA,NA,NA,NA
"13","箭","jian4","arrow",5,1,2.81,3.45,4.44,1.38,2.14,0.63,1.31,0.78,"3.31","4.72",0,1062,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"14","箭头","jian4tou2","arrow",1,2,2.83,4.17,4.61,1.19,2.88,0.73,1.6,1,"4.38","5.19",0,848,NA,NA,NA,NA
"15","烟灰缸","yan1hui1gang1","ashtray",1,3,3.12,3.75,3.61,2.08,2.34,0.43,2.18,0.48,"3.94","10.7",0.26,1390,NA,NA,NA,NA
"16","斧头","fu3tou2","axe",1,2,3.29,4.49,4.78,1.76,1.94,0.73,1.04,1,"3.12","5.77",0.03,860,NA,NA,NA,NA
"17","羽毛球","yu3mao2qiu2","badminton",4,3,3.38,4.63,4.92,3.68,3.03,1,0,1,"4.18","4.58",0,839,NA,NA,NA,NA
"18","书包","shu1bao1","bag",5,2,2.95,3.06,4.75,2.43,4.31,0.6,2.03,1,"2.56","4.66",0,866,NA,NA,NA,NA
"19","气球","qi4qiu2","ball",1,2,3.07,4.42,4.69,1.14,2.8,0.95,0.17,0.95,"2","2.81",0.06,1007,NA,NA,NA,NA
"20","竹子","zhu2zi3","bamboo",5,2,2.55,3.97,4.72,2.05,2.29,0.73,0.91,0.93,"3.31","4.58",0,975,NA,NA,NA,NA
"21","笋","sun3","bamboo sprouts",5,1,2.57,3.74,3.69,4.27,2.31,0.35,1.72,0.7,"4.47","10.35",0.03,1231,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"22","香蕉","xiang1jiao1","banana",1,2,3.12,4.08,4.72,1.43,3.68,1,0,1,"2.18","2.63",0.06,906,"5. no evidence for borrowing","No information",NA,"No information"
"23","乐队","le4dui4","band",2,2,2.73,3.63,4.36,4.73,2.23,0.88,0.63,0.93,"5.38","10.33",0,1182,NA,NA,NA,NA
"24","篮子","lan2zi3","basket",1,2,3.45,3.64,4.42,3.83,2.66,0.63,2,0.98,"2.25","4.73",0,924,NA,NA,NA,NA
"25","篮球","lan2qiu2","basket-ball",5,2,2.95,3.88,4.53,1.54,3.66,0.75,0.95,0.75,"4.25","8.27",0.03,1068,NA,NA,NA,NA
"26","蝙蝠","bian1fu2","bat",1,2,2.36,4.17,4.11,3.11,2,0.98,0,0.98,"4","5.58",0.03,1022,"5. no evidence for borrowing","Han dynasty",NA,"Han dynasty"
"27","浴缸","yu4gang1","bathtub",4,2,2.79,4.17,4.39,2.24,2.37,0.5,2.18,0.9,"5.31","5.68",0.03,1076,NA,NA,NA,NA
"28","熊","xiong2","bear",1,1,2.93,3.61,3.89,3.19,2.65,0.45,1.4,0.9,"4.47","10.45",0.03,1221,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"29","床","chuang2","bed",1,1,3,4,4.89,2.65,4.51,0.88,0.63,1,"1.94","2.84",0,710,"4. very little evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"30","蜜蜂","mi4feng1","bee",1,2,3.43,3.33,3.75,3.78,2.6,0.38,2.55,0.45,"2.35","10.32",0.03,1282,"5. no evidence for borrowing","Jin",NA,"Jin"
"31","甲虫","jia3chong2","beetle",1,2,3.14,3.22,3.56,2.81,2.06,0.13,3.3,0.45,"3.81","10.59",0.2,1459,NA,NA,NA,NA
"32","铃铛","ling2dang1","bell",1,2,2.24,3.97,4.61,2.46,2.26,0.4,1.93,0.68,"2.94","4.41",0.03,1022,NA,NA,NA,NA
"33","皮带","pi2dai4","belt",1,2,3.02,4.22,4.75,1.97,3.49,0.53,1.77,0.85,"3.35","4.69",0,993,NA,NA,NA,NA
"34","自行车","zi4xing2che1","bike",1,3,3.43,4.33,4.94,3.57,4.17,0.98,0.17,1,"2.81","2.81",0,763,"5. no evidence for borrowing","1634",1634,"1634"
"35","打气筒","da3qi4tong3","bicycle pump",1,3,2.88,4.26,4.25,1.86,3.14,0.58,1.78,0.88,"3.5","4.68",0.06,1202,NA,NA,NA,NA
"36","望远镜","wang4yuan3jing4","binocular",1,3,3.07,4.17,3.97,3.78,2.26,0.73,0.18,0.95,"4.18","7.17",0.03,1063,NA,NA,NA,NA
"37","小鸟","xiao3niao3","bird",1,2,3.55,4.22,4.47,2.65,3.37,0.53,2.01,0.95,"1.56","2.74",0.09,972,NA,NA,NA,NA
"38","鸟巢","niao3chao2","bird's nest",1,2,2.79,3.97,3.78,4.62,2.31,0.43,1.69,0.83,"3","7",0.06,1537,NA,NA,NA,NA
"39","血","xue4","blood",2,1,2.81,3.2,3.61,3.43,3.17,0.5,2.4,0.73,"1.81","6.25",0.06,1411,NA,NA,NA,NA
"40","上衣","shang4yi1","blouse",1,2,3.29,4.08,4.81,2.46,3.94,0.23,3.37,1,"3.44","10.91",0.03,959,"5. no evidence for borrowing","No information",NA,"No information"
"41","船","chuan2","boat",4,1,3.71,3.56,4.5,3.73,2.57,0.53,2.3,0.98,"2.56","4.2",0,1026,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"42","骨头","gu3tou2","bone",2,2,3.26,4.61,4.33,2.16,2.77,0.95,0.34,1,"2.5","3.18",0.03,910,NA,NA,NA,NA
"43","书","shu1","book",1,1,3.62,4.4,4.83,2.22,4.63,0.88,0.71,1,"1.88","2.84",0,799,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"44","书架","shu1jia4","bookshelf",4,2,3.02,3.81,4.47,2.67,3.69,0.65,1.44,0.95,"3.71","7.09",0,1088,NA,NA,NA,NA
"45","靴子","xue1zi3","boot",1,2,2.81,3.63,4.75,2.24,2.76,0.65,2.05,0.88,"4.59","7.45",0,920,NA,NA,NA,NA
"46","瓶子","ping2zi3","bottle",1,2,3.69,4.14,4.75,1.51,3.23,0.45,1.81,1,"2.35","3.67",0,853,NA,NA,NA,NA
"47","弓","gong1","bow",4,1,2.71,3.74,4.14,2.11,1.94,0.83,0.63,0.9,"3.56","8.27",0,1069,"3. perhaps borrowed","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"48","蝴蝶结","hu2die2jie2","bowknot",1,3,3.36,3.83,4.61,2.14,2.29,0.7,1.1,0.93,"3.25","5.78",0.03,907,NA,NA,NA,NA
"49","碗","wan3","bow",1,1,2.74,4.14,4.69,1.59,3.97,1,0,1,"1.56","2.48",0,782,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"50","盒子","he2zi3","box",1,2,2.83,3.6,4.06,1.22,3.69,0.5,2.47,0.65,"2.06","5.68",0.06,1083,NA,NA,NA,NA
"51","大脑","da4nao3","brain",5,2,3.05,4.26,3.81,4.11,3.62,0.65,1.35,0.95,"4.06","10.36",0,1017,"5. no evidence for borrowing","No information",NA,"No information"
"52","面包","mian4bao1","bread",1,2,3.93,3.75,4.42,1.84,4.03,0.75,1.07,0.9,"3.25","3.56",0.03,973,"5. no evidence for borrowing","1866",1866,"1866"
"53","桥","qiao2","bridge",4,1,3.05,3.08,4.42,3.08,3.11,0.53,2.19,1,"2.71","3.73",0.06,1053,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"54","刀","dao1","broadsword",5,1,2.74,3.33,4.5,2.14,3.43,0.58,1.47,0.95,"2.5","7.09",0.03,881,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"55","扫帚","sao3zhou3","broom",1,2,3.21,3.92,4.72,2.73,3.54,0.43,2.19,0.8,"2.2","6.94",0.06,1038,NA,NA,NA,NA
"56","刷子","shua1zi3","brush",1,2,2.93,3.79,4.58,2.65,2.89,0.83,0.97,0.95,"3","10.45",0.03,898,NA,NA,NA,NA
"57","水桶","shui3tong3","barrel",1,2,3.36,3.75,4.31,2.65,2.91,0.55,1.77,0.98,"2.41","5.67",0,1022,NA,NA,NA,NA
"58","子弹","zi3dan4","bullet",5,2,2.48,3.47,4.25,3.03,2.2,0.8,0.83,0.85,"3.63","5.74",0.09,1191,NA,NA,NA,NA
"59","公交车","gong1jiao1che1","bus",1,3,3.36,4.31,4.94,3.54,4.17,0.43,2.4,1,"5.25","3.19",0,1026,NA,NA,NA,NA
"60","蝴蝶","hu2die2","butterfly",1,2,2.9,4.58,4.78,3.43,2.29,0.98,0.17,0.98,"2.88","1.94",0,727,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"61","钮扣","niu3kou4","button",1,2,3.33,4.44,4.25,1.65,3.51,0.5,1.13,0.85,"2.65","3.56",0.09,1054,"5. no evidence for borrowing","No information",NA,"No information"
"62","白菜","bai2cai4","cabbage",5,2,2.95,3.79,4.22,4.27,3.65,0.75,1.34,0.9,"2.13","3.67",0.06,920,NA,NA,NA,NA
"63","仙人掌","xian1ren2zhang3","cactus",4,3,2.88,3.11,3.97,3.27,1.91,0.73,0.91,0.75,"3.69","5.73",0.11,1264,NA,NA,NA,NA
"64","蛋糕","dan4gao1","cake",1,2,3.1,3.5,4.56,2.75,3.29,0.88,0.18,0.88,"3.06","3.56",0.03,973,NA,NA,NA,NA
"65","日历","ri4li4","calendar",5,2,3.62,3.83,4.86,2.68,3.51,0.9,0.62,1,"2.81","7.44",0,924,"5. no evidence for borrowing","No information",NA,"No information"
"66","骆驼","luo4tuo2","camel",1,2,2.93,3.34,4.36,3.03,1.89,0.8,0.79,0.98,"3.5","4.72",0.03,939,NA,NA,NA,NA
"67","照相机","zhao4xiang1ji1","camera",1,3,3.48,4.17,4.72,3.78,3.23,0.6,0.97,1,"4.13","3.78",0,876,NA,NA,NA,NA
"68","蜡烛","la4zhu2","candle",1,2,2.81,4.64,4.83,2.16,2.29,0.93,0.45,1,"2.38","3.78",0,757,"5. no evidence for borrowing","No information",NA,"No information"
"69","糖","tang2","candy",4,1,2.88,4.31,4.64,2.49,3.73,0.6,1.09,0.95,"1.71","2.63",0.03,929,"5. no evidence for borrowing","Tang dynasty",NA,"Tang dynasty"
"70","大炮","da4pao2","cannon",1,2,3.64,3.11,3.69,3.84,1.94,0.63,1.44,0.8,"3.06","10.35",0.17,1136,NA,NA,NA,NA
"71","帽子","mao4zi3","cap",1,2,3.62,2.97,4.58,1.92,3.31,0.8,1.03,1,"2","4.17",0,832,NA,NA,NA,NA
"72","轿车","jiao4che1","car",1,2,3.62,4.19,4.89,3.68,3.44,0.35,2.15,1,"4","2.74",0,906,NA,NA,NA,NA
"73","扑克","pu1ke4","card",4,2,2.95,4.06,4.94,2.32,2.63,0.58,1.6,1,"3.47","4.18",0,816,NA,NA,NA,NA
"74","萝卜","luo2bu3","carrot",1,2,3.07,3.94,4.78,2.54,3.24,0.5,1.14,1,"2.53","4.6",0,839,NA,NA,NA,NA
"75","猫","mao1","cat",1,1,3.07,3.75,4.75,2.3,3.11,0.98,0.17,0.98,"1.88","2.86",0.03,839,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"76","弹弓","dan4gong1","catapult",4,2,2.83,4.56,4.67,2.16,1.66,0.75,1.1,0.85,"2.69","10.55",0.06,1178,NA,NA,NA,NA
"77","毛毛虫","mao2mao2chong2","caterpillar",1,3,2.38,4.08,4,3.27,2.06,0.55,1.57,0.65,"4.88","5.78",0.09,927,NA,NA,NA,NA
"78","芹菜","qin2cai4","celery",1,2,3.07,3.46,4,3.86,3.26,0.55,1.89,0.55,"3.29","10.55",0.14,1168,NA,NA,NA,NA
"79","大提琴","da4ti2qin2","cello",4,3,2.36,3.71,4.36,3.49,2.06,0.45,2.2,0.8,"5.18","10.93",0.03,1003,NA,NA,NA,NA
"80","铁链","tie3lian4","chain",1,2,3.07,4.39,4.42,2.32,2.23,0.58,1.74,0.98,"3.65","5.74",0,1047,NA,NA,NA,NA
"81","椅子","yi3zi3","chair",1,2,3.95,4.03,4.97,2.11,4.14,0.45,0.63,1,"2","5.68",0,771,NA,NA,NA,NA
"82","樱桃","ying1tao2","cherry",1,2,2.69,4,4.19,1.7,2.51,0.55,1.56,0.55,"4.12","10.68",0.06,1109,NA,NA,NA,NA
"83","小鸡","xiao3ji1","chicken",2,2,2.69,4.03,4.33,3.08,2.23,0.83,0.9,0.83,"2.06","10.45",0.03,1024,NA,NA,NA,NA
"84","烟囱","yan1cong1","chimney",1,2,2.88,4.06,4.67,3.19,2.23,0.98,0.17,0.98,"3.18","4.69",0,858,"5. no evidence for borrowing","No information",NA,"No information"
"85","教堂","jiao4tang2","church",1,2,3.24,3.25,4.08,3.19,2.09,0.4,2.09,0.43,"5.94","11",0.03,1014,NA,NA,NA,NA
"86","烟","yan1","cigarette",1,1,3.1,4.42,4.39,1.92,2.91,0.73,1.17,0.95,"3.69","7.09",0.03,966,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"87","钟","zhong1","clock",5,1,2.9,3.61,4.53,2.83,3.57,0.5,2.44,0.98,"2","4.2",0,987,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"88","夹子","jia1zi3","cramp",1,2,2.98,3.4,4.61,2.38,3.03,0.68,1.57,0.88,"2.94","9.16",0.11,1122,NA,NA,NA,NA
"89","云","yun2","cloud",5,1,2.88,3.28,4.36,1.86,3.43,0.45,2.16,0.98,"2.19","3.73",0,988,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"90","小丑","xiao3chou3","clown",1,2,3.19,3.56,3.58,4,1.89,0.6,1.65,0.6,"4.44","5.74",0.09,1289,NA,NA,NA,NA
"91","大衣","da4yi1","coat",1,2,3.24,4.03,4.75,2.32,2.91,0.55,1.69,0.95,"3.82","9.21",0.03,899,"5. no evidence for borrowing","No information",NA,"No information"
"92","梳子","shu1zi3","comb",1,2,2.95,3.42,4.75,2.35,4.26,0.98,0.17,1,"2.59","4.2",0,778,NA,NA,NA,NA
"93","指南针","zhi3nan2zhen1","compass",4,3,2.81,4.06,4.53,2.76,2.03,0.75,1.32,0.75,"4.5","10.4",0.06,997,NA,NA,NA,NA
"94","电脑","dian4nao3","computer",5,2,3.12,4.36,4.97,4.78,4.54,1,0,1,"5.81","2.81",0.03,873,NA,NA,NA,NA
"95","玉米","yu4mi3","corn",1,2,2.4,4.47,4.75,3.78,3.46,0.95,0.34,1,"2.53","3.73",0.03,824,"5. no evidence for borrowing","No information",NA,"No information"
"96","沙发","sha1fa1","couch",1,2,2.71,4.08,4.86,2.14,3.23,0.93,0.5,0.98,"4.25","3.42",0.03,878,NA,NA,NA,NA
"97","牛","niu2","cow",1,1,3.12,3.94,4.67,3.68,2.66,0.68,1.57,0.98,"3.76","7.71",0,899,"3. perhaps borrowed","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"98","螃蟹","pang2xie4","crab",4,2,2.95,3.77,4.17,3.19,2.31,0.85,0.61,1,"4.12","2.81",0,1051,NA,NA,NA,NA
"99","仙鹤","xian1he4","crane",5,2,3.07,3.51,3.94,3.22,1.89,0.28,2.54,0.78,"4.41","9.16",0.14,1300,NA,NA,NA,NA
"100","皇冠","huang2guan1","crown",1,2,2.9,3.67,3.67,3.51,1.83,0.48,1.54,0.8,"4.06","5.77",0.03,1184,NA,NA,NA,NA
"101","拐杖","guai3zhang4","crutch",3,2,2.57,3.03,4.42,2.68,2.11,0.73,0.88,0.9,"3.53","10.45",0.03,1337,NA,NA,NA,NA
"102","丝瓜","si1gua1","cucumber",5,2,3.19,4.39,4.14,3.89,2.31,0.53,1.28,0.53,"3.5","10.85",0.11,1477,NA,NA,NA,NA
"103","茶杯","cha2bei1","cup",1,2,3.14,4.11,4.75,1.81,3.91,0.45,1.51,1,"2.36","2.74",0,816,NA,NA,NA,NA
"104","窗帘","chuang1lian2","curtain",4,2,3.19,3.31,4.44,2.54,3.63,0.85,0.64,0.93,"2.88","3.58",0.09,1250,NA,NA,NA,NA
"105","飞镖","fei1biao1","dart",1,2,3.17,3.89,3.89,3.39,1.71,0.48,2.01,0.55,"4.94","10.6",0.14,1502,"5. no evidence for borrowing","No information",NA,"No information"
"106","鹿","lu4","deer",1,1,2.79,3.97,4.36,3.24,2.14,0.63,1.53,0.95,"3.25","10.64",0.06,1021,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"107","书桌","shu1zhuo1","desk",1,2,2.9,3.5,4.81,2.81,4.06,0.38,1.9,0.95,"2.88","10.6",0,1087,NA,NA,NA,NA
"108","钻石","zuan1shi2","diamond",2,2,2.93,4.06,3.86,2.42,2.14,0.68,0.81,0.7,"4.65","10.33",0.06,1245,NA,NA,NA,NA
"109","骰子","tou2zi3","dice",3,2,2.9,4.35,4.5,3.08,1.94,0.75,0.89,0.75,"4.76","9.16",0,1254,NA,NA,NA,NA
"110","恐龙","kong3long2","dinosaur",3,2,2.79,3.5,3.83,3.11,2.17,0.88,0.36,0.93,"4","3.73",0.09,1332,NA,NA,NA,NA
"111","光盘","guang1pan2","disk",2,2,3.24,4.61,4.81,2.38,3.38,0.53,2.07,0.98,"6.06","4.84",0.03,1035,NA,NA,NA,NA
"112","医生","yi1sheng1","doctor",5,2,3.02,2.69,4.61,4.08,3.2,0.8,0.98,1,"2.63","4.42",0,1276,"5. no evidence for borrowing","No information",NA,"No information"
"113","狗","gou3","dog",1,1,3.64,4.22,4.67,2.46,3.46,0.95,0.29,1,"1.88","2.48",0,885,"2. probably borrowed","Warring States period",NA,"Warring States period"
"114","驴","lv2","donkey",1,1,2.71,3.71,4.39,3.46,2.11,0.5,2.02,0.7,"2.94","8.77",0,1005,NA,NA,NA,NA
"115","门","men2","door",1,1,3.69,3.81,4.86,2.57,4.4,0.83,0.87,0.98,"1.76","2.25",0.03,741,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"116","门把手","men2ba3shou3","door knob",1,3,2.88,3.11,3.72,2.24,3.24,0.15,3.57,0.35,"3.63","10.73",0.23,1558,NA,NA,NA,NA
"117","龙","long2","dragon",5,1,2.74,3.92,4.36,4.89,2.23,0.78,0.68,0.83,"2.94","3.56",0.03,1009,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"118","蜻蜓","qing1ting2","dragon fly",4,2,3.36,4.61,4.58,3.05,2.09,1,0,1,"2.44","3.73",0,875,NA,NA,NA,NA
"119","抽屉","chou1ti4","drawer",4,2,2.79,3.97,4.69,1.95,3.86,0.85,0.7,0.95,"2.94","7.89",0.06,994,NA,NA,NA,NA
"120","连衣裙","lian2yi1qun2","dress",1,3,3.38,3.53,4.69,1.95,2.74,0.53,2.1,0.88,"3.56","9.16",0,926,"5. no evidence for borrowing","No information",NA,"No information"
"121","柜子","gui4zi3","dresser",1,2,2.93,3.29,4.69,2.62,3.6,0.63,1.8,0.8,"2.5","5.67",0,1167,NA,NA,NA,NA
"122","电钻","dian4zuan1","drill",2,2,2.9,3.97,4.11,3.27,1.69,0.28,3.09,0.63,"5.75","10.73",0.11,1248,NA,NA,NA,NA
"123","鼓","gu3","drum",3,1,2.74,3.92,4.19,3.59,2.17,0.78,1.38,0.98,"3","4.58",0.03,971,"4. very little evidence for borrowing","No information",NA,"No information"
"124","鸭子","ya1zi3","duck",1,2,2.83,3.97,4.69,2.62,2.74,0.5,1.19,0.5,"2.24","10.6",0.03,975,NA,NA,NA,NA
"125","杠铃","gang4ling2","dumbbell",2,2,3.12,3.84,4.39,2.92,2.06,0.5,1.62,0.58,"5.35","10.6",0.23,1322,NA,NA,NA,NA
"126","鹰","ying1","eagle",1,1,2.52,3.67,4.31,3.43,2.14,0.5,1.92,0.68,"3.5","5.58",0.03,1158,NA,NA,NA,NA
"127","耳朵","er3duo3","ear",1,2,2.33,4.47,4.97,2.57,3.8,0.9,0.57,1,"1.94","3.73",0,696,NA,NA,NA,NA
"128","耳环","er3huan2","earring",4,2,2.88,2.76,4.19,2.57,2.94,0.33,2.93,0.75,"3.88","10.55",0.09,1265,"5. no evidence for borrowing","No information",NA,"No information"
"129","蚯蚓","qiu1yin3","earthworm",1,2,3.14,3.69,3.75,2.32,1.89,0.68,1.27,0.7,"2.88","9.03",0.14,1204,"5. no evidence for borrowing","Early Han",NA,"Early Han"
"130","鸡蛋","ji1dan4","egg",2,2,3,4.11,4.19,2.27,4.23,0.68,0.91,1,"2","5.78",0.03,969,"5. no evidence for borrowing","No information",NA,"No information"
"131","茄子","qie2zi3","eggplant",5,2,2.74,3.53,4.25,2.27,3.26,0.7,1.09,0.73,"2.63","5.67",0,1188,NA,NA,NA,NA
"132","大象","da4xiang4","elephant",1,2,2.64,4.42,4.58,3.76,2.17,0.88,0.63,1,"2.81","2.63",0,785,"5. no evidence for borrowing","No information",NA,"No information"
"133","信封","xin4feng1","envelope",1,2,3.17,4.14,4.72,1.22,2.83,0.83,0.77,0.98,"3.81","8.92",0,837,NA,NA,NA,NA
"134","橡皮擦","xiang4pi2ca1","eraser",2,2,2.6,3.34,4.36,1.57,1.82,0.45,1.9,0.6,"2.6","7.17",0.03,1167,NA,NA,NA,NA
"135","眼睛","yan3jing1","eye",1,2,2.71,4.06,4.97,3,4.29,0.78,1.04,1,"1.53","1.94",0,646,NA,NA,NA,NA
"136","扇子","shan4zi3","fan",5,2,2.86,3.97,4.64,3.95,2.76,0.78,1.23,1,"2.33","3.67",0,842,NA,NA,NA,NA
"137","羽毛","yu3mao2","feather",5,2,2.95,4.09,4.17,2.27,2.66,0.83,1.06,0.95,"2.65","6.94",0,996,"5. no evidence for borrowing","No information",NA,"No information"
"138","栅栏","zha4lan2","fence",1,2,3.14,4.36,4.36,2.05,2.23,0.78,1.05,0.98,"4.12","8.67",0.03,1080,NA,NA,NA,NA
"139","食指","shi2zhi3","finger",1,2,2.52,4.47,4.86,2.54,3.57,0.55,1.4,1,"1.44","5.65",0,825,NA,NA,NA,NA
"140","火","huo3","fire",5,1,3.07,3.5,3.67,3.54,3.43,0.48,1.67,0.88,"1.75","5.19",0.03,1105,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"141","鱼","yu2","fish",1,1,3.14,4.14,4.72,3.46,3.57,0.73,1.4,1,"2.18","2.63",0,704,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
