spelling,subtlex.dominant.pos.frequency,celex.morphology,concreteness,aoa,length,Borrowed,age,age.youngest,age.oldest,age.youngest.num,age.oldest.num
koe,810,monomorphemic,5,4.17,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
kom,114146,monomorphemic,4.6,5.28,3,5. no evidence for borrowing,1277,1277,1277,723,723
komen,50015,monomorphemic,3.33,4.34,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
koning,6013,monomorphemic,3.47,5.32,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
koorts,646,monomorphemic,3.87,6.03,5,5. no evidence for borrowing,1285,1285,1285,715,715
koud,4195,monomorphemic,3.73,4.09,3,5. no evidence for borrowing,1130-1161,1161,1130,839,870
kraag,157,monomorphemic,4.73,7.45,4,5. no evidence for borrowing,1350,1350,1350,650,650
kraai,95,monomorphemic,4.8,7.5,4,5. no evidence for borrowing,1240,1240,1240,760,760
kraan,277,monomorphemic,4.87,5.65,4,5. no evidence for borrowing,1354,1354,1354,646,646
krabben,267,monomorphemic,4.53,5.4,5,5. no evidence for borrowing,1400,1400,1400,600,600
kreunen,60,monomorphemic,4,10.71,5,5. no evidence for borrowing,1265-1270,1270,1265,730,735
krijgen,21729,monomorphemic,2.27,4.84,5,5. no evidence for borrowing,1265-1270,1270,1265,730,735
krijsen,36,monomorphemic,3.67,6.65,5,5. no evidence for borrowing,1287,1287,1287,713,713
krom,124,monomorphemic,4,6.78,4,5. no evidence for borrowing,875,875,875,1125,1125
krop,11,monomorphemic,4,8.97,4,5. no evidence for borrowing,1617,1617,1617,383,383
kruik,68,monomorphemic,4.8,8.27,4,5. no evidence for borrowing,1240,1240,1240,760,760
kruipen,534,monomorphemic,4.07,4.46,5,5. no evidence for borrowing,1240,1240,1240,760,760
kuiken,29,monomorphemic,4.8,4.71,4,5. no evidence for borrowing,1401-1450,1450,1401,550,599
kuit,21,monomorphemic,4.67,7.85,3,5. no evidence for borrowing,1494,1494,1494,506,506
laag,1166,monomorphemic,2.8,5.28,3,5. no evidence for borrowing,1240,1240,1240,760,760
laars,181,monomorphemic,4.93,5.96,4,5. no evidence for borrowing,1240,1240,1240,760,760
laat,74916,monomorphemic,1.6,5.5,3,5. no evidence for borrowing,1281,1281,1281,719,719
laatste,17438,monomorphemic,2.47,5.56,NA,5. no evidence for borrowing,1281,1281,1281,719,719
lachen,3877,monomorphemic,3.93,4.59,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
ladder,406,monomorphemic,4.67,6.06,5,5. no evidence for borrowing,1317,1317,1317,683,683
land,10577,monomorphemic,3.33,5.88,4,5. no evidence for borrowing,1200,1200,1200,800,800
lang,26092,monomorphemic,3.4,5.34,3,5. no evidence for borrowing,0788-789,789,788,1211,1212
leeftijd,1967,other,2.8,6.95,6,5. no evidence for borrowing,1688,1688,1688,312,312
leeg,2693,monomorphemic,3.47,4.78,3,5. no evidence for borrowing,1599,1599,1599,401,401
leer,1809,monomorphemic,4.07,7.59,3,5. no evidence for borrowing,1240,1240,1240,760,760
leerling,568,other,3.8,6.67,6,5. no evidence for borrowing,1496,1496,1496,504,504
leger,4664,monomorphemic,4.13,7.05,5,5. no evidence for borrowing,1596,1596,1596,404,404
leggen,3004,monomorphemic,3.27,5.71,4,5. no evidence for borrowing,1240,1240,1240,760,760
leiden,2718,other,3.13,7.46,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
leider,2001,other,3,7.19,5,5. no evidence for borrowing,1285,1285,1285,715,715
lelijk,1277,monomorphemic,2.13,5.34,5,5. no evidence for borrowing,1220-1240,1240,1220,760,780
lenen,1540,monomorphemic,2.8,7.46,4,5. no evidence for borrowing,1240,1240,1240,760,760
lente,646,monomorphemic,3.2,5.73,5,5. no evidence for borrowing,1050,1050,1050,950,950
lepel,217,monomorphemic,4.93,4.19,5,5. no evidence for borrowing,1240,1240,1240,760,760
leraar,1294,other,3.13,6.74,5,5. no evidence for borrowing,1240,1240,1240,760,760
leren,9002,monomorphemic,2.73,5.9,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
lever,487,monomorphemic,4.27,8.77,5,5. no evidence for borrowing,1240,1240,1240,760,760
lezen,4710,monomorphemic,3.93,5.65,4,5. no evidence for borrowing,1250,1250,1250,750,750
lichaam,6448,monomorphemic,4.47,6.09,5,5. no evidence for borrowing,1100,1100,1100,900,900
lied,930,monomorphemic,4.47,4.74,3,5. no evidence for borrowing,1260-1270,1270,1260,730,740
liegen,2626,monomorphemic,2.4,5.29,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
lijk,1727,monomorphemic,4.07,8.47,3,5. no evidence for borrowing,1240,1240,1240,760,760
lijken,3548,monomorphemic,2.13,7.65,4,5. no evidence for borrowing,1450,1450,1450,550,550
lijm,170,monomorphemic,4.53,5.05,3,5. no evidence for borrowing,1240,1240,1240,760,760
lijn,2979,monomorphemic,4.67,5.52,3,5. no evidence for borrowing,1477,1477,1477,523,523
likken,311,monomorphemic,4.33,5.9,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
links,2912,monomorphemic,3.27,5.59,5,5. no evidence for borrowing,1477,1477,1477,523,523
linnen,41,monomorphemic,4.27,9.84,4,5. no evidence for borrowing,1236,1236,1236,764,764
lip,259,monomorphemic,4.8,4.79,3,5. no evidence for borrowing,1100,1100,1100,900,900
lof,167,monomorphemic,1.73,10.4,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
long,286,monomorphemic,4.73,8.65,3,5. no evidence for borrowing,1240,1240,1240,760,760
loon,815,monomorphemic,3.07,9.18,3,5. no evidence for borrowing,1080,1080,1080,920,920
lopen,9687,monomorphemic,3.93,4.14,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
lucht,3826,monomorphemic,3.87,5.24,4,5. no evidence for borrowing,1240,1240,1240,760,760
lui,1762,monomorphemic,2.07,6.15,2,5. no evidence for borrowing,1440,1440,1440,560,560
luid,397,monomorphemic,3.53,5.15,3,5. no evidence for borrowing,1285,1285,1285,715,715
luis,205,monomorphemic,4.73,6.91,3,5. no evidence for borrowing,1285,1285,1285,715,715
maag,1014,monomorphemic,4.53,6.65,3,5. no evidence for borrowing,1240,1240,1240,760,760
maaltijd,672,other,3.8,6.55,6,5. no evidence for borrowing,1285,1285,1285,715,715
maan,1801,monomorphemic,4.93,5.34,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
maand,4074,monomorphemic,2.67,6.34,4,5. no evidence for borrowing,1050,1050,1050,950,950
maandag,1351,other,2.13,5.09,6,5. no evidence for borrowing,1253,1253,1253,747,747
maken,41858,monomorphemic,2.93,5.34,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
malen,178,monomorphemic,3.6,9.53,4,5. no evidence for borrowing,1240,1240,1240,760,760
mand,187,monomorphemic,4.87,5.7,4,5. no evidence for borrowing,1285,1285,1285,715,715
mast,90,monomorphemic,4.73,7.83,4,5. no evidence for borrowing,1080,1080,1080,920,920
mede,122,monomorphemic,1.4,10.94,4,5. no evidence for borrowing,1265,1265,1265,735,735
meel,63,monomorphemic,4.57,7.64,3,5. no evidence for borrowing,1240,1240,1240,760,760
meeuw,27,monomorphemic,4.87,6.75,3,5. no evidence for borrowing,1287,1287,1287,713,713
meineed,111,other,2,13.3,5,5. no evidence for borrowing,1240,1240,1240,760,760
meisje,16737,other,4.67,3.89,5,5. no evidence for borrowing,1629,1629,1629,371,371
melk,1733,monomorphemic,4.8,3.69,4,5. no evidence for borrowing,1240,1240,1240,760,760
melken,102,monomorphemic,4.27,6.28,5,5. no evidence for borrowing,1300,1300,1300,700,700
menen,366,monomorphemic,1.93,7.59,4,5. no evidence for borrowing,1265-1270,1270,1265,730,735
mens,6323,monomorphemic,4.27,5.05,4,5. no evidence for borrowing,1236,1236,1236,764,764
merrie,119,monomorphemic,4.6,8.6,4,5. no evidence for borrowing,0701-800,800,701,1200,1299
mes,2022,monomorphemic,4.73,4.8,3,5. no evidence for borrowing,1240,1240,1240,760,760
met,297827,monomorphemic,1.36,4.89,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
meten,263,monomorphemic,3.67,7.03,4,5. no evidence for borrowing,1240,1240,1240,760,760
middel,623,monomorphemic,2.47,7.84,5,5. no evidence for borrowing,1102-1105,1105,1102,895,898
midden,1297,monomorphemic,3.07,6.53,4,5. no evidence for borrowing,694,694,694,1306,1306
mier,110,monomorphemic,4.87,5.34,3,5. no evidence for borrowing,1240,1240,1240,760,760
milt,70,monomorphemic,3.8,10.27,4,5. no evidence for borrowing,1287,1287,1287,713,713
misdaad,1860,other,2.27,8.46,6,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
missen,3732,monomorphemic,2.33,6.4,4,5. no evidence for borrowing,1200,1200,1200,800,800
mist,1490,monomorphemic,4.53,6.88,4,5. no evidence for borrowing,1287,1287,1287,713,713
modder,558,monomorphemic,4.6,5.84,5,5. no evidence for borrowing,1287,1287,1287,713,713
moe,3764,monomorphemic,2.79,4.14,2,5. no evidence for borrowing,1100,1100,1100,900,900
moeder,28524,monomorphemic,3,3.99,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
moeilijk,9060,other,1.47,5.96,6,5. no evidence for borrowing,1287,1287,1287,713,713
mond,7253,monomorphemic,4.73,3.78,4,5. no evidence for borrowing,0698-699,699,698,1301,1302
mooi,26934,monomorphemic,2.07,4.28,3,5. no evidence for borrowing,1350,1350,1350,650,650
moord,6181,monomorphemic,3.53,8.23,4,5. no evidence for borrowing,1260-1280,1280,1260,720,740
morgen,17412,monomorphemic,1.73,4.65,5,5. no evidence for borrowing,1240,1240,1240,760,760
mug,99,monomorphemic,4.8,5.71,3,5. no evidence for borrowing,1240,1240,1240,760,760
muis,473,monomorphemic,5,4.54,3,5. no evidence for borrowing,1240,1240,1240,760,760
na,25919,monomorphemic,1.53,5.45,2,5. no evidence for borrowing,1200,1200,1200,800,800
naaien,786,monomorphemic,4.07,7.03,4,5. no evidence for borrowing,1240,1240,1240,760,760
naakt,1236,monomorphemic,4.4,7.34,4,5. no evidence for borrowing,1236,1236,1236,764,764
naald,371,monomorphemic,4.8,6.68,4,5. no evidence for borrowing,1156,1156,1156,844,844
naam,20536,monomorphemic,2.6,4.36,3,5. no evidence for borrowing,1236,1236,1236,764,764
naast,4046,monomorphemic,1.93,5.79,4,5. no evidence for borrowing,1285,1285,1285,715,715
nacht,8916,monomorphemic,3.8,4.6,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
nadoen,93,other,3.33,6.4,5,5. no evidence for borrowing,1451-1500,1500,1451,500,549
najaar,56,other,2.2,9.61,5,5. no evidence for borrowing,1599,1599,1599,401,401
nat,1158,monomorphemic,4.53,4.59,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
nauw,242,monomorphemic,2.73,8.46,3,5. no evidence for borrowing,1285,1285,1285,715,715
navel,69,monomorphemic,4.8,5.83,5,5. no evidence for borrowing,1240,1240,1240,760,760
nee,134605,monomorphemic,2.47,2.56,2,5. no evidence for borrowing,1350,1350,1350,650,650
neef,2113,monomorphemic,3.13,5.37,3,5. no evidence for borrowing,1240,1240,1240,760,760
neet,10,monomorphemic,4.42,9.4,3,5. no evidence for borrowing,1240,1240,1240,760,760
negen,2756,monomorphemic,3.07,4.86,4,5. no evidence for borrowing,0701-800,800,701,1200,1299
nek,2520,monomorphemic,4.6,5.19,3,5. no evidence for borrowing,1350,1350,1350,650,650
nemen,17111,monomorphemic,3,5.03,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
nest,488,monomorphemic,4.33,5.94,4,5. no evidence for borrowing,1100,1100,1100,900,900
netel,NA,monomorphemic,4.93,7.2,5,5. no evidence for borrowing,1287,1287,1287,713,713
neus,3052,monomorphemic,4.93,3.95,3,5. no evidence for borrowing,1236,1236,1236,764,764
nicht,978,monomorphemic,3.07,5.67,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
nier,170,monomorphemic,4.4,9.34,3,5. no evidence for borrowing,1287,1287,1287,713,713
niet,801268,monomorphemic,1.2,3.96,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
niets,56283,other,1.47,5.81,4,5. no evidence for borrowing,1270-1290,1290,1270,710,730
nieuw,5216,monomorphemic,1.93,6.09,3,5. no evidence for borrowing,1040,1040,1040,960,960
niezen,81,monomorphemic,4.13,5.9,4,5. no evidence for borrowing,1240,1240,1240,760,760
noemen,6188,monomorphemic,2.47,5.59,4,5. no evidence for borrowing,1249,1249,1249,751,751
nok,30,monomorphemic,4,10.74,3,5. no evidence for borrowing,1599,1599,1599,401,401
noodzaak,147,other,1.93,10.05,6,5. no evidence for borrowing,1236,1236,1236,764,764
nooit,63864,monomorphemic,1.2,5.44,4,5. no evidence for borrowing,1265-1270,1270,1265,730,735
noorden,1210,other,3.53,7.44,5,5. no evidence for borrowing,1240,1240,1240,760,760
noot,167,monomorphemic,4.64,5.54,3,5. no evidence for borrowing,1285,1285,1285,715,715
nu,134490,monomorphemic,1.53,4.94,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
ochtend,1723,monomorphemic,2.73,5.48,6,5. no evidence for borrowing,1351-1400,1400,1351,600,649
oever,157,monomorphemic,4.4,7.79,4,5. no evidence for borrowing,1287,1287,1287,713,713
of,101777,monomorphemic,1.07,4.33,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
oksel,23,monomorphemic,4.93,6.37,5,5. no evidence for borrowing,1240,1240,1240,760,760
omdat,38015,other,1.13,6,5,5. no evidence for borrowing,1637,1637,1637,363,363
omhoog,4674,other,2.73,6.06,5,5. no evidence for borrowing,1486,1486,1486,514,514
omlaag,1023,other,3.13,5.67,5,5. no evidence for borrowing,1860-1875,1875,1860,125,140
onder,20248,monomorphemic,2.8,5.22,5,5. no evidence for borrowing,1330,1330,1330,670,670
ondiep,54,other,3.2,7.6,5,5. no evidence for borrowing,1270-1280,1280,1270,720,730
ontbijt,1730,other,4.27,5.17,6,5. no evidence for borrowing,1240,1240,1240,760,760
oog,2975,monomorphemic,5,4.11,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
ooglid,18,other,4.73,8.5,5,5. no evidence for borrowing,1287,1287,1287,713,713
oom,4757,monomorphemic,3.07,5.54,2,5. no evidence for borrowing,1240,1240,1240,760,760
oor,1094,monomorphemic,4.8,4.48,2,5. no evidence for borrowing,0701-800,800,701,1200,1299
oorbel,73,other,4.8,6.05,5,5. no evidence for borrowing,1648,1648,1648,352,352
oorlog,7712,monomorphemic,2.87,7.4,5,5. no evidence for borrowing,1240,1240,1240,760,760
oosten,602,other,3.27,7.89,4,5. no evidence for borrowing,1248-1271,1271,1248,729,752
op,352839,monomorphemic,1.87,4.28,2,5. no evidence for borrowing,777,777,777,1223,1223
opnieuw,4484,other,1.53,6.72,5,5. no evidence for borrowing,1450,1450,1450,550,550
os,89,monomorphemic,4.6,7.34,2,5. no evidence for borrowing,0701-800,800,701,1200,1299
oud,8007,monomorphemic,3.2,5.28,2,5. no evidence for borrowing,893,893,893,1107,1107
ouders,7548,other,3.07,5.11,NA,5. no evidence for borrowing,1287,1287,1287,713,713
oven,423,monomorphemic,4.6,6.37,3,5. no evidence for borrowing,1240,1240,1240,760,760
pad,1829,monomorphemic,4.53,5.96,3,5. no evidence for borrowing,1240,1240,1240,760,760
paling,41,monomorphemic,4.73,8.42,5,5. no evidence for borrowing,1080,1080,1080,920,920
plassen,690,monomorphemic,4.13,3.25,5,5. no evidence for borrowing,1950,1950,1950,50,50
ploegen,71,monomorphemic,3.87,7.9,5,5. no evidence for borrowing,1240,1240,1240,760,760
poepen,139,monomorphemic,4.07,10.56,4,5. no evidence for borrowing,1889,1889,1889,111,111
priem,14,monomorphemic,4.23,9.58,4,5. no evidence for borrowing,1254,1254,1254,746,746
raam,3092,monomorphemic,4.87,4.58,3,5. no evidence for borrowing,1277,1277,1277,723,723
raden,1190,monomorphemic,2.4,6.71,4,5. no evidence for borrowing,1100,1100,1100,900,900
ram,135,monomorphemic,4.36,9.34,3,5. no evidence for borrowing,1223,1223,1223,777,777
rand,825,monomorphemic,4.33,6.79,4,5. no evidence for borrowing,1285,1285,1285,715,715
rat,875,monomorphemic,5,5.98,3,5. no evidence for borrowing,1240,1240,1240,760,760
ratel,17,monomorphemic,4.07,8.66,5,5. no evidence for borrowing,1488,1488,1488,512,512
rauw,204,monomorphemic,3.8,8.15,3,5. no evidence for borrowing,1266-1268,1268,1266,732,734
recht,4756,monomorphemic,3.47,6.9,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
rechtbank,1115,other,3.93,9.67,8,5. no evidence for borrowing,1469,1469,1469,531,531
rechter,2619,monomorphemic,3,8.68,6,5. no evidence for borrowing,1240,1240,1240,760,760
rechts,2556,monomorphemic,3.4,6.71,5,5. no evidence for borrowing,1477,1477,1477,523,523
redden,7536,monomorphemic,2.8,6.59,4,5. no evidence for borrowing,1471,1471,1471,529,529
reden,6871,monomorphemic,1.73,8.11,4,5. no evidence for borrowing,1350,1350,1350,650,650
regen,1157,monomorphemic,4.6,4.49,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
reiger,8,monomorphemic,4.73,9.04,5,5. no evidence for borrowing,1285,1285,1285,715,715
remmen,268,monomorphemic,4.13,6.09,4,5. no evidence for borrowing,1477,1477,1477,523,523
rennen,3186,monomorphemic,4.47,5.65,4,5. no evidence for borrowing,1240,1240,1240,760,760
rib,92,monomorphemic,4.8,8.12,3,5. no evidence for borrowing,1240,1240,1240,760,760
rijden,6557,monomorphemic,3.6,4.9,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
rijp,353,monomorphemic,3.67,7.21,3,5. no evidence for borrowing,1100,1100,1100,900,900
rillen,19,monomorphemic,4,8.21,4,5. no evidence for borrowing,1678,1678,1678,322,322
ring,2210,monomorphemic,4.67,5.25,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
roeien,334,monomorphemic,4.07,7.9,4,5. no evidence for borrowing,1240,1240,1240,760,760
roer,253,monomorphemic,4.47,7.98,3,5. no evidence for borrowing,1240,1240,1240,760,760
roeren,95,monomorphemic,3.87,6.28,4,5. no evidence for borrowing,1240,1240,1240,760,760
rog,58,monomorphemic,4.86,10.18,3,5. no evidence for borrowing,1287,1287,1287,713,713
rok,315,monomorphemic,4.53,5.63,3,5. no evidence for borrowing,1100,1100,1100,900,900
roken,1912,monomorphemic,4.27,8.09,4,5. no evidence for borrowing,1668,1668,1668,332,332
rood,2118,monomorphemic,4.33,3.91,3,5. no evidence for borrowing,1156,1156,1156,844,844
rook,1162,monomorphemic,4.67,6.31,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
rot,2393,monomorphemic,4,6.9,3,5. no evidence for borrowing,1407,1407,1407,593,593
rug,3531,monomorphemic,4.93,4.88,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
ruiken,1119,monomorphemic,3.53,5.28,4,5. no evidence for borrowing,1265-1270,1270,1265,730,735
ruilen,741,monomorphemic,3.07,6.28,4,5. no evidence for borrowing,1506,1506,1506,494,494
rund,146,monomorphemic,4.4,7.54,4,5. no evidence for borrowing,1377-1378,1378,1377,622,623
rusten,1824,monomorphemic,3.27,5.78,5,5. no evidence for borrowing,1240,1240,1240,760,760
rustig,15502,other,2.47,5.78,6,5. no evidence for borrowing,1745,1745,1745,255,255
ruw,349,monomorphemic,3.87,8.65,3,5. no evidence for borrowing,1199,1199,1199,801,801
ruzie,2801,monomorphemic,3.4,4.9,4,5. no evidence for borrowing,1644,1644,1644,356,356
sap,310,monomorphemic,4.6,6.46,3,5. no evidence for borrowing,1240,1240,1240,760,760
schaal,425,monomorphemic,4.57,7.48,4,5. no evidence for borrowing,1302,1302,1302,698,698
schaamhaar,101,other,4.8,10.15,7,5. no evidence for borrowing,1962,1962,1962,38,38
schaamte,309,other,1.73,8.4,6,5. no evidence for borrowing,1285,1285,1285,715,715
schaap,283,monomorphemic,5,4.74,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
schaar,262,monomorphemic,4.93,5.03,4,5. no evidence for borrowing,1240,1240,1240,760,760
schaduw,913,monomorphemic,4.33,5.96,6,5. no evidence for borrowing,1300,1300,1300,700,700
schede,33,monomorphemic,4.47,11.04,5,5. no evidence for borrowing,1807,1807,1807,193,193
schedel,633,monomorphemic,4.8,8.24,6,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
scheermes,135,other,4.87,8.77,7,5. no evidence for borrowing,1240,1240,1240,760,760
scheiden,1103,monomorphemic,3.2,8.34,5,5. no evidence for borrowing,1100,1100,1100,900,900
scheiding,832,other,3,9.53,6,5. no evidence for borrowing,1360,1360,1360,640,640
schelp,58,monomorphemic,5,6.03,5,5. no evidence for borrowing,1287,1287,1287,713,713
schenken,379,monomorphemic,3.07,7.21,6,5. no evidence for borrowing,1100,1100,1100,900,900
scherp,903,monomorphemic,3.93,6.65,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
scheuren,252,monomorphemic,4.07,6.46,5,5. no evidence for borrowing,1265-1270,1270,1265,730,735
schieten,5780,monomorphemic,4.47,6.21,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
schijnen,374,monomorphemic,3.27,6.96,5,5. no evidence for borrowing,1100,1100,1100,900,900
schild,426,monomorphemic,4.53,8.39,5,5. no evidence for borrowing,1100,1100,1100,900,900
schildpad,175,other,4.67,5.65,8,5. no evidence for borrowing,1611-1620,1620,1611,380,389
schillen,75,monomorphemic,3.8,7.09,5,5. no evidence for borrowing,1240,1240,1240,760,760
schip,5039,monomorphemic,4.6,5.67,4,5. no evidence for borrowing,1076-1100,1100,1076,900,924
schoen,588,monomorphemic,4.8,3.71,4,5. no evidence for borrowing,1240,1240,1240,760,760
schoffel,15,monomorphemic,3.69,11.94,6,5. no evidence for borrowing,1651,1651,1651,349,349
schoon,2154,monomorphemic,2.53,5.84,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
schoonbroer,50,other,2.8,9.58,8,5. no evidence for borrowing,1555,1555,1555,445,445
schoonzoon,189,other,2.53,9.3,7,5. no evidence for borrowing,1470,1470,1470,530,530
schoorsteen,184,other,4.67,6.35,8,5. no evidence for borrowing,1240,1240,1240,760,760
schop,470,monomorphemic,4.43,5.73,4,5. no evidence for borrowing,1370,1370,1370,630,630
schouder,812,monomorphemic,4.8,5.65,6,5. no evidence for borrowing,1220-1240,1240,1220,760,780
schrappen,143,monomorphemic,3.53,8.78,6,5. no evidence for borrowing,1406,1406,1406,594,594
schreeuwen,1257,monomorphemic,3.87,5.84,6,5. no evidence for borrowing,1479,1479,1479,521,521
schudden,864,monomorphemic,4.2,6.4,5,5. no evidence for borrowing,1240,1240,1240,760,760
schuim,154,monomorphemic,4.53,6.53,4,5. no evidence for borrowing,1240,1240,1240,760,760
schuld,7784,monomorphemic,2,6.46,5,5. no evidence for borrowing,1201-1225,1225,1201,775,799
schuldig,3743,other,1.73,7.71,7,5. no evidence for borrowing,1236,1236,1236,764,764
slaan,4127,monomorphemic,4.13,4.96,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
slaap,2685,monomorphemic,3.73,4.78,4,5. no evidence for borrowing,1240,1240,1240,760,760
slak,101,monomorphemic,4.8,5.44,4,5. no evidence for borrowing,1240,1240,1240,760,760
slang,944,monomorphemic,4.87,5.66,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
slapen,9128,monomorphemic,3.67,3.57,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
slecht,11697,monomorphemic,1.6,5.09,5,5. no evidence for borrowing,1573,1573,1573,427,427
sleutel,3527,monomorphemic,4.87,5.41,6,5. no evidence for borrowing,1240,1240,1240,760,760
slim,4876,monomorphemic,2,5.71,4,5. no evidence for borrowing,1602,1602,1602,398,398
sloot,405,monomorphemic,4.2,7.82,4,5. no evidence for borrowing,966,966,966,1034,1034
slot,2292,monomorphemic,4.4,6.87,4,5. no evidence for borrowing,1240,1240,1240,760,760
sluiten,2564,monomorphemic,3.93,5.71,5,5. no evidence for borrowing,1240,1240,1240,760,760
smaken,160,monomorphemic,3.13,6.4,5,5. no evidence for borrowing,1240,1240,1240,760,760
smeden,72,monomorphemic,3.6,9.2,5,5. no evidence for borrowing,1240,1240,1240,760,760
smid,112,monomorphemic,4.07,8.46,4,5. no evidence for borrowing,1138-1139,1139,1138,861,862
sneeuw,1062,monomorphemic,4.8,4.26,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
snel,20273,monomorphemic,2.53,5.53,4,5. no evidence for borrowing,1240,1240,1240,760,760
snoep,543,monomorphemic,4.6,4.19,4,5. no evidence for borrowing,1798,1798,1798,202,202
snot,52,monomorphemic,4.67,4.87,4,5. no evidence for borrowing,1351,1351,1351,649,649
